word,hiragana,katakana,WIKIPEDIA_V2_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_ANIME_V2,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
いる,いる,イル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ある,ある,アル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
日,ひ,ヒ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
も,も,モ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5
から,から,カラ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5
なる,なる,ナル,5,2,2,2,3,4,3,3,3,2,3,2,2,2,2,5,5,1,4,4,5,5,5,5,2,5,3,2,5,5,5,5,5,2,2,5,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,3,2,5,5,5,5,2,5,5
ない,ない,ナイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
こと,こと,コト,5,2,2,2,3,4,3,3,3,2,2,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
第,だい,ダイ,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,3,1,3,4,5,3,4,3,3,2,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
として,として,トシテ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1
や,や,ヤ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
市,し,シ,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,3,3,5,3,3,3,4,4,4,5,3,4,4,3,3,3,3,3,4,4,4,3,3,3,5,3,5,5,5,5,5,5,5,4,5,4,5,3,4,5,5,5,4,5,5
県,けん,ケン,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,3,4,5,4,5,3,3,3,4,3,4,4,3,3,4,2,2,2,5,2,3,4,2,2,1,2,2,4,3,3,2,3,2,3,2,4,5,4,5,5,5,5,4,4,4,5,2,3,3,4,5,3,5,5
者,もの,モノ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
など,など,ナド,5,5,4,4,5,5,4,4,5,4,4,4,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,1,5,5
日本,にほん,ニホン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,2,4,4,5,2,5,5,5,4,5,5,5,5,5,5,1,5,3,5,5,1,5,5
人,ひと,ヒト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ため,ため,タメ,5,3,3,3,3,4,3,3,3,3,2,3,2,2,3,5,5,5,5,2,5,3,5,5,2,5,2,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,2,5,5
駅,えき,エキ,5,5,5,5,4,4,3,4,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,5,3,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,4,5,4,5,4,4,4,5,5,3,4,1,4,5,4,4,5
この,この,コノ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
的,てき,テキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,5,5,4,5,5,4,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
られる,られる,ラレル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,3,4,4,4,4,4,4,4,4,4,4,3,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5
その,その,ソノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,3,5,5,5,5,3,5,5
町,まち,マチ,5,4,4,4,3,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,5,4,4,4,4,4,4,5,5,4,5,4,4,5,3,5,4,5,5,5,5,5,4,5,4,5,5,1,5,5,4,5,4
へ,へ,ヘ,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5
後,あと,アト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
まで,まで,マデ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5
よう,よう,ヨウ,5,3,3,2,3,4,3,3,3,2,4,2,2,3,2,5,5,5,2,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
放送,ほうそう,ホウソウ,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,4,1,4,4,4,4,4,3,3,3,3,4,1,4,4,4,4,4,4,4,4,4,5,3,4,4,4,5,4,5,5
号,ごう,ゴウ,5,4,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,4,2,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,4,4,4,4,4,1,4,4,5,4,4,3,4,3,2,3,2,4,4,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,5
名,な,ナ,5,5,4,4,5,4,4,4,4,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,3,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5
中,なか,ナカ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
という,という,トイウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1
また,また,マタ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
もの,もの,モノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,3,4,5,5,5,4,5,5,5,5,5,5,5,5
行う,おこなう,オコナウ,5,4,3,4,5,5,4,3,3,4,3,3,5,4,4,5,5,1,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,1,1,5,5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回,かい,カイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,5,4,4,5,4,5,4,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
部,ぶ,ブ,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,4,4,4,4,4,5,4,5,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
時,とき,トキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
家,いえ,イエ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
か,か,カ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
リンク,リンク,リンク,5,3,2,2,4,4,3,3,3,2,2,2,4,3,3,4,3,1,3,3,5,2,3,3,1,2,1,1,2,3,3,2,2,4,4,5,1,3,2,3,3,1,2,3,3,2,3,2,3,2,3,4,4,4,4,3,4,4,3,4,4,4,5,3,3,1,3,5,2,4,4
村,むら,ムラ,5,4,4,2,4,4,4,3,3,4,3,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5,5,4,4,5,5,4,5,4,4,4,4,4,5,4,4,1,4,4,4,4,4,4,5,3,3,4,3,4,4,4,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4
郡,ぐん,グン,5,2,3,3,3,4,3,3,3,2,3,3,2,3,2,5,2,4,2,4,3,3,4,4,4,4,2,1,3,2,2,1,1,4,3,3,1,4,3,1,1,1,2,2,3,2,2,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,2,4,1,4,4,3,4,2
学校,がっこう,ガッコウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5
より,より,ヨリ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
できる,できる,デキル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
線,せん,セン,5,5,5,5,4,4,3,4,5,5,5,5,4,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,5,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,5,5,5,4,5,4,4,4,5,5,4,4,3,5,5,4,5,5
おる,おる,オル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,3,3,3,2,5,5,4,5,3,3,4,5,5,5,5,1,1,5,3,1,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,3,3,4,3,3,3,3,3,4,3,4,5,5,5,4,4,5,5
昭和,しょうわ,ショウワ,5,4,5,4,4,4,4,3,4,4,4,5,4,4,4,5,3,4,5,5,4,4,2,1,1,4,1,2,4,1,1,2,2,2,2,4,2,3,4,2,2,1,4,3,3,4,4,2,1,2,1,3,1,5,5,5,5,4,5,4,5,4,4,1,2,1,4,4,1,4,4
東京,とうきょう,トウキョウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,4,5,4,1,1,5,1,1,4,4,4,4,3,4,4,5,2,5,5,4,4,4,5,4,5,5,5,3,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,5,1,5,5
番組,ばんぐみ,バングミ,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,4,2,4,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,4,5,3,3,3,3,3,3,4,4,3,4,4,3,3,3,2,4,1,4,4,5,4,4,4,4,5,5,5,3,5,1,4,5,4,5,4
大,だい,ダイ,5,5,5,4,5,5,4,4,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
により,により,ニヨリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,5,2,5,1,4,4,3,4,4,5,4,5,4,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1
会,かい,カイ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
外部,がいぶ,ガイブ,5,4,4,3,5,4,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4
現在,げんざい,ゲンザイ,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,4,5,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,4,5,5,4,4,1,4,4,5,4,5,4,5,4,5,4,1,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5
画像,がぞう,ガゾウ,5,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,3,2,4,4,5,3,3,3,3,3,2,3,3,2,2,3,3,4,4,4,4,3,3,3,3,1,3,3,4,3,3,3,3,3,3,3,1,4,5,4,4,4,3,4,4,4,5,3,3,4,4,5,3,4,4
ぬ,ぬ,ヌ,5,3,1,4,3,4,3,3,3,2,2,2,4,3,2,4,5,1,3,3,5,4,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,2,4,4,4,1,3,4,4,3,2,3,4,3,2,4,1,3,3,2,3,3,2,3,3,3,2,1,5,5,5,5,1,5,5
区,く,ク,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,4,4,3,5,3,5,3,4,4,4,4,3,4,4,4,3,2,4,4,5,2,2,5,3,3,1,3,3,4,3,3,2,3,2,2,5,1,5,4,5,4,4,4,4,5,4,5,4,4,3,4,5,3,5,4
による,による,ニヨル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,5,4,1,1,5,1,1,1,1,1,1,4,1,1,5,1,5,5,4,5,4,4,5,5,4,5,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1
二,に,ニ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
国,くに,クニ,5,5,5,4,5,4,4,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,5,4,5,4,4,5,5,5,5,4,5,4,5,5,3,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5
テレビ,テレビ,テレビ,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,5,4,1,5,5,5,4,5,5,1,4,1,1,4,4,4,4,4,4,4,5,1,5,4,4,4,4,4,4,4,5,5,4,3,4,3,4,5,5,4,5,4,4,4,5,5,5,5,3,5,1,4,5,4,5,5
