word,hiragana,katakana,RSPEER_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
人,ひと,ヒト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
や,や,ヤ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
日,ひ,ヒ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
いい,いい,イイ,5,3,4,3,4,4,3,3,4,3,4,2,3,4,3,4,5,4,2,2,5,5,5,5,2,5,3,3,5,5,5,5,5,2,2,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,3,4,3,3,3,3,2,3,5,5,5,4,4,5,5
なっ,なっ,ナッ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,4,1,1,1,1,1,5,5,4,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,5
まし,まし,マシ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,4,3,2,4,2,3,4,4,4,4,1,3,3,3,3,4,3,5,2,1,3,4,3,3,3,3,4,3,3,3,3,2,3,1,3,3,3,3,3,2,3,3,3,3,4,2,1,3,4,1,2,5
この,この,コノ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
そう,そう,ソウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
って,って,ッテ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,4,5,5
たら,たら,タラ,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,4,3,2,3,3,2,5,3,3,4,2,4,4,5,3,3,3,2,5,5,5,1,1,4,4,3,3,4,4,4,3,3,3,4,3,3,1,3,3,3,3,4,4,3,4,3,3,1,2,1,3,2,1,2,5
ば,ば,バ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,4,3,4,4,4,4,4,3,4,3,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
お,お,オ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,3,5,5,5,5,3,5,5,2,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,3,3,2,3,4,4,3,3,5,5,5,3,5,5,5
けど,けど,ケド,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,4,1,5,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,3,5,5
これ,これ,コレ,5,2,3,2,3,4,3,3,3,2,3,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
よう,よう,ヨウ,5,3,3,2,3,4,3,3,3,2,4,2,2,3,2,5,5,5,2,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
3,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
じゃ,じゃ,ジャ,5,3,3,4,4,4,3,4,4,3,4,4,3,4,3,4,5,1,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,3,3,3,4,4,3,3,4,2,5,5,5,3,4,5,5
年,ねん,ネン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
その,その,ソノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,3,5,5,5,3,5,5,5
たい,たい,タイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,2,5,4,3,2,2,2,2,2,4,2,4,3,3,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
だけ,だけ,ダケ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
まで,まで,マデ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
的,てき,テキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,4,5,5,4,5,5,4,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
なる,なる,ナル,5,2,2,2,3,4,3,3,3,2,3,2,2,2,2,5,5,1,4,4,5,5,5,5,2,5,3,2,5,5,5,5,5,2,2,5,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,3,2,5,5,5,2,5,5,5
なら,なら,ナラ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,2,3,5,5,1,2,3,1,2,5,2,2,2,4,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1,2,2,2,4,2,2,2,2,1,5,1,3,1,4,3,3
者,もの,モノ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
月,つき,ツキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,5,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
だっ,だっ,ダッ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,2,1,3,3,1,3,3,3,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,4,4,3,2,2,1,1,2,4,1,1,4
見,み,ミ,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,5,5,5,1,1,2,5,5,3,2,2,3,4,1,3,3,4,4,5,5,5,2,3,5,5,3,2,2,3,2,2,2,2,2,2,5,1,1,2,1,1,1,1,1,1,1,3,3,5,4,3,3,4,3,3
という,という,トイウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
中,なか,ナカ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
それ,それ,ソレ,5,3,3,2,3,4,4,3,3,2,3,3,2,2,3,5,5,5,2,2,5,2,5,5,3,5,3,3,5,5,5,5,5,5,5,5,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,2,4,2,2,2,2,5,5,5,5,5,5,5,5
でも,でも,デモ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
何,なに,ナニ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
れる,れる,レル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,1,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
だろ,だろ,ダロ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,1,5,5,5,5,5,5,5,3,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
なく,なく,ナク,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,5,4,4,5,2,2,5,2,5,5,5,5,2,5,2,4,4,5,5,1,3,4,5,2,2,3,2,2,5,2,2,2,3,3,4,3,5,4,4,4,4,4,4,4,5,2,4,5,5,2,3,4
私,わたし,ワタシ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ため,ため,タメ,5,3,3,3,3,4,3,3,3,3,2,3,2,2,3,5,5,5,5,2,5,3,5,5,2,5,2,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,2,5,5,5
わ,わ,ワ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5
時,とき,トキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
あり,あり,アリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,3,3,5,3,4,4,4,2,4,3,4,4,4,3,4,4,5,2,4,5,4,3,1,2,2,1,4,2,1,2,4,4,5,3,2,4,3,3,3,3,3,3,2,3,3,5,4,3,4,3,5
もの,もの,モノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,3,4,5,5,5,4,5,5,5,5,5,5,5,5
4,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
へ,へ,ヘ,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
あっ,あっ,アッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,4,1,5,5,5,4,5,5,3,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,2,4,5,4,4,5,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,1,2,5,5
さん,さん,サン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ので,ので,ノデ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
