word,hiragana,katakana,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3,RSPEER
が,が,ガ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5
は,は,ハ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
も,も,モ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,5,5
に,に,ニ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
よ,よ,ヨ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5
と,と,ト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5
てる,てる,テル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,1,5,4,4,5,5,5,5,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,5
って,って,ッテ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,4,5,5,5
です,です,デス,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5
何,なに,ナニ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
言う,いう,イウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ない,ない,ナイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
為る,する,スル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,1,5,5,2,2,2,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
から,から,カラ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,5,5
ああ,ああ,アア,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,5,5
あっ,あっ,アッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,3,5,5,5
無い,ない,ナイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,2,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
はい,はい,ハイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,2,5,5,5
あの,あの,アノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
良い,よい,ヨイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
けれど,けれど,ケレド,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,5,4,4,4,5,5,5,5,1,4,4,5,5,4,4,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,4,5,5,1,2,5,5,5
な,な,ナ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
其れ,それ,ソレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,5,5,2,2,2,3,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
有る,ある,アル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,2,5,4,5,5,5,2,2,3,4,5,5,4,4,4,5,5,5,3,3,4,3,4,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,5,5,4
を,を,ヲ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5
ます,ます,マス,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,2,2,4,4,3,3,4,4,3,3,3,4,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
もう,もう,モウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
此れ,これ,コレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,3,3,4,4,5,2,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
行く,いく,イク,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
さ,さ,サ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
まあ,まあ,マア,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2,5,5,5
遣る,やる,ヤル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,5,5,5,5,2,5,5,4,5,5,5,5,5,5,4,1,1,5,3,1,5,5,5,3,3,4,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,2,5,5,5
御,ご,ゴ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,2,4,4,5,5,5,5,5,4,4,5,4,5,5,5,4,3,2,5,5,3,4,4,4,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,5,5
思う,おもう,オモウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
成る,なる,ナル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,5,5,5,1,2,3,5,4,5,5,5,3,3,3,4,2,2,3,3,2,3,5,5,4,4,4,4,5,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,5,3,2,3,2
来る,くる,クル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
一寸,ちょっと,チョット,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,2,5,3,5,5,5,2,2,5,5,2,2,2,5,1,5,5,5,2,2,3,2,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5
いや,いや,イヤ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,5,4,4,3,5,5,5,4,5,5,5,5,5,2,5,5,5
事,こと,コト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
さん,さん,サン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
えっ,えっ,エッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,3,4,5,5,5,5,5,4,3,4,4,3,4,3,5,4,4,1,5,5,5,1,2,5,5,5
ちゃう,ちゃう,チャウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,2,5,1,1,2,4,1,4,4,5,5,2,3,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,4,5,5,5
彼れ,あれ,アレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
みたい,みたい,ミタイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
其の,その,ソノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,3,5,5,5,4,4,5,5,5,5,3,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,5,5,2
こう,こう,コウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
つう,つう,ツウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,4,5,5,2,5,5,4,5,5,5,3,5,5,2,3,2,4,4,3,3,3,4,4,2,3,3,3,2,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,3,2,4,5,2
凄い,すごい,スゴイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,5,5,5,5,3,3,5,4,5,5,5,3,3,4,5,1,1,4,5,1,5,5,4,3,4,5,3,2,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,2,5,5,5
人,ひと,ヒト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
居る,いる,イル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,1,1,4,5,2,1,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,4
分かる,わかる,ワカル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
ええ,ええ,エエ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,1,2,5,5,5
見る,みる,ミル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
本当,ほんとう,ホントウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
私,わたし,ワタシ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
今,いま,イマ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ふん,ふん,フン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,3,3,2,1,5,5,5,4,5,5,5,5,5,5,5,3,3,3,3,1,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,2,3,5,4,4,5,5,5,3,4,5,3,4,4,2,3,4,3
どう,どう,ドウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
くらい,くらい,クライ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
時,とき,トキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
じゃん,じゃん,ジャン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,4,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,1,1,4,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,4,3,3,3,4,5,3,5,1,5,1,5,2,2,5,5,1
此の,この,コノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
矢張り,やはり,ヤハリ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,4,5,5,5
ん,ん,ン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,5,5
ちゃん,ちゃん,チャン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
へえ,へえ,ヘエ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,4,4,2,5,5,5,5,4,5,5,5,5,5,5,4,4,4,2,1,1,5,5,5,5,5,5,5,3,4,5,4,4,5,5,5,3,4,4,4,4,5,5,5,4,1,5,4,4,1,1,2,3,2
違う,ちがう,チガウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
れる,れる,レル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,5,5,1,4,4,5,4,5,4,5,5,4,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5
方,ほう,ホウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
