word,hiragana,katakana,BCCWJ_SUW_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
曖昧,あいまい,アイマイ,4,3,3,3,4,4,3,4,4,3,3,2,3,3,3,4,2,4,4,3,3,2,2,3,3,3,3,4,3,3,3,4,3,3,3,4,1,4,3,3,3,4,4,3,4,4,4,4,4,4,3,4,2,4,4,3,4,3,3,3
差し出す,さしだす,サシダス,4,2,2,2,3,4,3,3,3,2,2,3,2,2,2,1,3,1,4,2,3,3,3,3,4,3,3,4,3,3,3,4,1,1,2,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,1,4,2,5,2,2,2
翻訳,ほんやく,ホンヤク,4,3,4,2,3,4,3,3,3,2,4,2,4,4,2,4,2,4,3,4,3,3,3,3,3,1,2,4,1,1,2,2,4,4,4,2,4,3,2,2,2,5,5,4,4,4,4,5,4,4,4,3,3,1,3,4,2,4,3,4
アイテム,アイテム,アイテム,4,2,2,3,3,4,3,3,4,3,2,2,3,2,3,4,3,1,3,4,2,3,3,1,2,1,1,2,3,3,3,3,2,2,4,4,4,2,3,3,5,4,4,3,4,3,3,4,4,4,5,5,3,5,3,4,3,4,3,4
昨夜,ゆうべ,ユウベ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,3,4,4,4,4,4,3,3,4,2,3,3,4,5,5,3,3,1,4,3,3,4,2,2,2,5,2,3,2,2,2,3,4,4,1,4,3,4,1,1,2
容量,ようりょう,ヨウリョウ,4,3,2,4,3,4,3,5,3,3,3,2,4,3,3,3,1,1,3,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,1,3,4,3,3,3,3,3,3,3,4,3,2,4,2,3,2,4,4,4
弾く,ひく,ヒク,4,4,4,3,4,4,4,5,3,3,5,3,3,4,4,2,3,1,4,3,4,4,4,4,4,3,4,3,3,4,4,4,1,1,3,4,1,4,3,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,2,4,3,3,4
麺,めん,メン,4,4,4,4,3,4,4,3,5,4,4,3,4,4,4,3,3,1,3,3,3,3,4,4,2,3,3,4,3,3,3,2,2,2,3,2,1,1,2,3,3,3,2,3,3,3,2,3,3,3,4,3,3,1,2,4,3,3,3,4
住まい,すまい,スマイ,4,3,2,4,3,4,3,3,3,2,3,3,3,3,3,2,3,1,3,4,1,3,3,3,3,2,2,3,2,2,2,2,3,3,3,2,1,1,2,2,2,4,2,4,4,3,4,3,4,3,3,2,3,3,3,2,3,2,3,3
冷凍,れいとう,レイトウ,4,4,4,4,3,4,4,3,5,4,5,4,4,4,5,2,3,1,2,3,2,3,3,3,2,3,2,3,3,3,2,2,3,3,3,2,1,2,2,3,1,3,2,3,3,3,4,3,3,3,4,3,3,1,3,3,3,3,3,3
角度,かくど,カクド,4,4,4,4,4,5,3,3,5,4,4,4,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,3,1,4,4,3,4,3,4,3,3,3,3,3,3,1,3,3,4,3,4,4
組み合わせる,くみあわせる,クミアワセル,4,3,2,3,3,4,3,3,3,3,3,2,3,3,3,2,2,1,4,4,3,2,2,2,2,2,2,2,2,3,2,2,1,1,2,3,1,3,2,2,1,4,4,3,4,4,4,4,4,4,3,3,2,4,3,2,3,3,4,4
継ぐ,つぐ,ツグ,4,3,4,3,3,4,3,4,3,3,3,3,4,3,3,3,4,1,4,3,4,4,4,4,3,4,4,4,4,4,4,3,1,1,2,3,1,3,3,4,3,3,2,3,3,3,2,3,3,3,2,4,3,3,4,2,4,4,3,3
