word,hiragana,katakana,CC100_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_ANIME_V2,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ぬ,ぬ,ヌ,5,3,1,4,3,4,3,3,3,2,2,2,4,3,2,4,5,1,3,3,4,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,2,4,4,4,1,3,4,4,3,2,3,4,3,2,4,1,3,3,2,3,3,2,3,3,3,2,1,5,5,5,5,1,5,5,5
せる,せる,セル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,3,3,2,1,2,2,3,2,1,2,2,2,2,4,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5
其れ,それ,ソレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,5,2,5,2,2,2,3,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
へ,へ,ヘ,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
日本,にほん,ニホン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,2,4,4,5,2,5,5,5,4,5,5,5,5,5,5,1,5,3,5,5,1,5,5,5
因る,よる,ヨル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,2,5,1,1,1,3,3,4,3,3,3,3,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
ご,ご,ゴ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
けれど,けれど,ケレド,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,4,4,4,5,5,5,5,1,4,4,4,5,4,4,5,1,1,5,4,4,5,4,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,4,4,5,4,1,2,5,5
円,えん,エン,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,4,4,3,5,4,2,4,4,4,5,4,4,4,5,5,3,1,4,4,3,5,5,5,5,5,4,3,4,3,4,2,5,4,5,5,5,4,5,4,5,5,4,4,3,5,5,4,5,5,5
サイト,サイト,サイト,5,4,4,5,5,4,3,4,3,4,4,4,5,5,4,5,3,1,4,4,4,4,4,1,2,1,1,3,2,2,4,3,4,4,5,1,3,2,3,3,4,3,3,4,3,4,3,2,3,2,3,4,4,4,3,4,3,3,4,4,3,5,3,4,1,4,5,3,5,4,4
って,って,ッテ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,5,5
呉れる,くれる,クレル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,1,5,5,5,3,5,5,5,5,5,5,5,1,1,5,1,1,1,5,5,5,5,5,2,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5
第,だい,ダイ,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,1,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,3,1,3,4,5,3,4,3,3,2,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
しまう,しまう,シマウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,3,1,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
くださる,くださる,クダサル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,3,5,1,4,5,4,3,4,4,4,4,3,3,4,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5
ん,ん,ン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5
感ずる,かんずる,カンズル,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,1,1,1,5,5,1,1,5,5,3,5,5,1,5,5,5,1,1,1,2,1,1,3,1,2,1,2,2,2,2,3,2,2,3,2,1,1,5,5,5,4,5,5,5,4,5,5,5,1,4,5,1,5,1,1,5
達,たち,タチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,3,4,4,5,3,3,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
等,とう,トウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,1,3,3,5,4,5,5,4,3,3,3,3,5,5,5,4,5,1,5,3,3,3,4,5,3,5,4,3,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
知れる,しれる,シレル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,5,5,4,4,4,5,5,5,5,5,4,4,4,5,1,1,1,4,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,3,5,4
サービス,サービス,サービス,5,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,4,1,4,5,4,4,4,1,3,1,1,4,4,4,4,3,4,4,5,5,5,3,4,4,3,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,3,5,5,4,5,3,4,5,4,5,4,5,4,5
みる,みる,ミル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,4,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
致す,いたす,イタス,5,5,5,5,5,4,4,3,4,5,4,4,5,5,5,1,4,1,5,5,5,2,3,4,4,4,4,5,3,3,3,4,1,1,2,5,1,5,4,3,1,4,3,4,4,2,3,3,3,3,3,5,5,5,5,4,5,5,5,4,5,5,5,2,4,4,1,5,2,4,4
商品,しょうひん,ショウヒン,5,4,4,5,4,4,3,4,3,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,3,3,4,4,3,3,4,3,4,4,5,4,3,3,3,3,1,4,4,4,4,4,4,4,3,3,3,1,4,5,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,5,5
購入,こうにゅう,コウニュウ,5,2,2,3,3,4,3,3,4,2,3,2,3,3,2,4,3,2,4,5,3,3,4,4,3,2,3,3,2,2,3,2,3,3,5,4,2,3,2,3,1,4,4,4,3,4,4,4,3,3,3,1,4,4,4,4,3,3,3,4,3,5,4,3,4,4,4,3,4,4,5
御座る,ござる,ゴザル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,3,5,5,5,3,5,5,5,5,5,5,2,1,1,2,4,1,3,4,4,4,4,4,2,5,2,4,4,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,5,2,5,3
関する,かんする,カンスル,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,1,1,4,5,3,2,4,4,1,4,4,5,4,4,4,1,1,1,1,2,1,3,4,4,4,4,4,4,4,5,4,4,4,5,1,1,5,5,5,4,5,5,5,5,5,5,5,2,5,5,1,4,1,4,5
多く,おおく,オオク,5,3,3,3,3,4,4,3,3,3,3,2,4,3,3,5,4,1,5,5,1,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,1,1,4,4,4,4,4,4,4,5,5,5,4,4,4,1,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5
現在,げんざい,ゲンザイ,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,4,5,5,4,4,1,4,4,5,4,5,4,5,4,5,4,1,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5
対する,たいする,タイスル,5,5,5,5,5,5,4,5,3,5,4,4,5,5,4,5,3,1,4,5,3,2,5,5,2,4,4,5,4,4,4,3,1,1,1,2,1,4,4,4,4,4,4,4,4,5,5,4,5,5,2,2,5,5,5,4,5,5,5,4,5,5,5,2,5,5,2,5,2,4,5
メール,メール,メール,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,1,5,5,5,5,5,1,3,1,1,3,4,4,5,4,5,5,5,1,4,3,4,4,5,4,4,4,4,4,3,3,4,3,4,5,4,4,5,4,4,3,5,4,4,5,4,5,5,4,5,4,4,4,4
開催,かいさい,カイサイ,5,4,3,3,5,4,4,3,3,3,3,2,5,4,3,5,3,2,4,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,5,2,4,2,3,4,1,3,3,4,3,4,3,3,3,4,3,1,4,3,4,5,3,4,3,3,3,5,3,3,3,3,5,3,5,4,5
可能性,かのうせい,カノウセイ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,4,4,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,5,5
ブログ,ブログ,ブログ,5,4,3,4,3,5,3,3,5,4,4,3,4,3,4,4,3,1,4,5,3,3,3,1,1,1,1,1,2,2,3,2,3,3,5,1,3,1,2,2,1,3,2,4,3,3,2,1,2,1,3,3,1,1,1,1,1,1,1,1,1,5,2,3,1,3,5,2,4,4,4
無料,むりょう,ムリョウ,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,3,3,5,4,3,3,4,4,2,2,3,3,2,2,3,2,4,3,5,3,3,2,3,3,1,3,3,4,3,4,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,5,3,3,1,3,5,3,4,5,4
くれる,くれる,クレル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,3,3,5,5,5,3,5,3,3,5,5,5,5,5,1,1,5,3,1,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,2,2,3,2,2,2,2,2,2,2,3,5,5,5,5,4,4,5,5
カード,カード,カード,5,5,5,5,4,4,3,5,4,5,4,5,4,5,5,5,5,1,4,4,4,4,5,1,4,1,1,4,4,4,4,4,5,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,4,4,4,3,4,4,4,5,4,4,4,4,5,4,5,5,5
以下,いか,イカ,5,4,4,4,4,4,3,3,3,4,3,4,4,4,3,5,4,4,5,5,3,4,4,4,4,4,3,4,4,4,3,3,3,4,5,5,5,4,4,4,1,4,4,4,4,5,4,4,4,4,4,1,5,5,4,4,5,4,4,4,4,5,4,4,5,4,5,4,5,4,4
おく,おく,オク,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,4,5,2,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5
御客様,おきゃくさま,オキャクサマ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
歳,さい,サイ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,2,5,4,4,5,5,5,5,5,5,5,4,4,5,2,4,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,4,5,5,5
表示,ひょうじ,ヒョウジ,5,4,4,3,4,4,3,3,4,3,3,3,4,4,3,5,4,3,4,5,2,3,3,3,3,2,2,4,2,2,3,3,3,3,5,3,3,3,3,3,1,2,4,4,2,4,4,4,4,4,3,1,4,5,4,4,4,4,4,4,4,5,4,3,5,4,5,4,5,4,5
易い,やすい,ヤスイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,1,5,4,4,4,4,3,4,5,5,4,4,2,3,1,1,3,3,2,4,4,4,5,2,2,3,2,2,2,2,2,2,4,5,5,5,5,4,5,5,5,4,5,5,5,4,4,3,2,5,2,3,3
ページ,ページ,ページ,5,5,4,5,5,4,4,5,3,4,4,4,5,5,5,4,4,4,4,5,3,4,4,1,5,1,1,5,4,4,4,4,4,4,5,1,2,4,3,4,3,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,5,5,4,4,4,5,4,4,1,4,5,4,4,5,4
此方,こっち,コッチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,2,2,5,4,1,1,5,5,5,5,5,5,2,2,4,5,5,5,2,5,1,5,5,5,4,5,5,5,5,5,5,5,5,4,2,5,5,2,5,5
感じ,かんじ,カンジ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5
けど,けど,ケド,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,4,1,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,3,5,5
其処,そこ,ソコ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,2,3,3,5,1,1,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5
約,やく,ヤク,5,3,3,4,3,4,3,3,4,3,4,4,3,3,4,5,4,4,1,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,3,4,4,4,4,1,4,4,4,4,5,4,3,3,4,4,3,5,5,5,4,5,5,4,4,4,5,4,4,3,4,5,3,5,4,5
やる,やる,ヤル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
地域,ちいき,チイキ,5,4,4,4,5,4,5,5,5,5,4,4,4,5,4,5,3,3,5,5,3,4,4,4,4,3,3,4,3,3,3,3,4,4,5,3,5,4,3,3,1,4,4,4,3,5,4,4,3,3,3,1,5,5,5,4,5,5,4,4,5,5,4,4,5,4,5,3,5,5,5
イベント,イベント,イベント,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,1,4,4,4,4,4,1,3,1,1,3,3,3,4,4,4,3,5,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,3,4,5,4,5,5,5
ポイント,ポイント,ポイント,5,4,5,4,5,4,3,4,3,4,4,5,5,5,4,4,4,1,5,5,4,5,5,1,3,1,1,3,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,3,5,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,5,4,4,5,4,5,4,4,5,5
ところ,ところ,トコロ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
変更,へんこう,ヘンコウ,5,4,3,4,5,4,3,5,3,4,4,3,4,4,4,5,4,3,4,5,4,4,4,4,3,4,3,4,4,4,3,3,4,4,5,4,2,3,4,4,1,4,4,4,4,5,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,5,4,4,5,4,5,4,5,4,4
販売,はんばい,ハンバイ,5,4,4,4,3,4,3,3,5,4,4,4,4,4,4,5,3,2,4,5,3,3,4,4,3,2,3,4,2,2,3,2,4,4,5,3,4,3,2,3,1,4,3,4,3,4,3,3,2,3,2,1,4,4,4,4,4,3,4,4,5,5,4,3,3,4,5,3,5,4,4
データ,データ,データ,5,5,4,5,5,5,4,5,4,4,4,4,5,5,4,5,4,1,5,5,4,4,4,1,3,1,1,4,4,4,4,4,4,4,5,1,4,3,4,4,1,4,4,4,4,5,4,4,4,3,4,5,5,5,4,4,5,5,4,4,4,5,3,4,5,4,5,4,5,5,5
ネット,ネット,ネット,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,4,4,1,4,4,4,4,4,1,3,1,1,3,4,4,4,4,4,4,5,1,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,5,4,4,4,4,4,3,4,4,4,5,4,4,3,4,5,4,5,5,5
代,だい,ダイ,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,3,5,4,4,5,5,5,5,4,5,5,5,4,4,4,4,5,3,2,4,4,4,1,4,4,4,4,4,4,4,3,4,3,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,5,4,5,4,5
余り,あまり,アマリ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,5,5,1,2,2,4,4,4,5,4,2,2,2,3,3,3,4,4,1,1,5,3,5,3,3,3,3,3,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,3,5,3,4,3
価格,かかく,カカク,5,4,4,4,4,4,3,3,4,4,4,2,4,4,4,4,2,3,4,5,3,3,3,3,3,2,2,3,2,2,2,2,3,3,5,3,3,2,2,2,1,3,3,3,2,4,2,3,2,1,2,1,4,4,4,4,4,4,4,4,4,5,4,3,3,3,4,2,4,4,4
ゲーム,ゲーム,ゲーム,5,5,5,5,4,4,4,4,3,4,5,5,5,5,4,5,5,1,4,4,4,5,5,1,4,1,1,4,5,5,5,4,5,5,5,1,5,4,4,4,4,4,4,5,4,4,4,5,4,4,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5
社会,しゃかい,シャカイ,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,3,4,4,5,4,4,4,3,4,1,4,4,4,4,5,4,3,3,3,4,1,5,5,5,5,4,5,4,5,5,5,4,4,4,5,5,4,5,5,5
とき,とき,トキ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
出会い,であい,デアイ,5,4,4,3,3,4,4,3,3,4,3,4,4,3,4,4,4,1,4,4,1,4,4,4,3,3,4,4,3,4,4,3,4,4,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,3,4,5,4,4,4,4,3,4,4,4,3,3,4
ござる,ござる,ゴザル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,2,4,1,3,4,4,4,4,4,4,5,4,4,4,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,2,5,5
掲載,けいさい,ケイサイ,5,3,2,3,4,4,3,4,4,2,2,2,4,3,3,5,2,3,3,4,3,3,3,3,3,3,2,3,3,3,2,2,2,2,5,2,3,3,1,2,1,3,3,4,2,4,3,2,2,2,2,1,3,4,3,3,3,3,3,3,3,5,3,2,1,3,4,2,5,4,4
