word,hiragana,katakana,RSPEER_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_ANIME_V2,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
たら,たら,タラ,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,4,3,2,3,3,2,5,3,3,4,2,4,4,5,3,3,3,2,5,5,5,1,1,4,4,4,3,3,4,4,4,3,3,3,4,3,3,1,3,3,3,3,4,4,3,4,3,3,1,2,1,3,2,1,2,5
お,お,オ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,3,5,5,5,5,3,5,5,2,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,3,3,2,3,4,4,3,3,5,5,5,3,5,5,5
けど,けど,ケド,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,4,1,5,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,3,5,5
3,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
なら,なら,ナラ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,2,3,5,5,1,2,3,1,2,5,2,2,2,4,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1,2,2,2,4,2,2,2,2,1,5,1,3,1,4,3,3
だっ,だっ,ダッ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,2,1,3,3,1,3,3,3,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,4,4,3,2,2,1,1,2,4,1,1,4
見,み,ミ,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,5,5,5,1,1,2,5,5,3,2,2,3,4,1,3,3,4,4,5,5,5,2,3,5,5,2,3,2,2,3,2,2,2,2,2,2,5,1,1,2,1,1,1,1,1,1,1,3,3,5,4,3,3,4,3,3
という,という,トイウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
でも,でも,デモ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
れる,れる,レル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
だろ,だろ,ダロ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,1,5,5,5,5,5,5,5,5,3,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
なく,なく,ナク,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,5,4,4,5,2,2,5,2,5,5,5,5,2,5,2,4,4,5,5,1,3,4,2,5,2,2,3,2,2,5,2,2,2,3,3,4,3,5,4,4,4,4,4,4,4,5,2,4,5,5,2,3,4
あり,あり,アリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,3,3,5,3,4,4,4,2,4,3,4,4,4,3,4,4,5,2,4,5,4,1,3,1,2,2,1,4,2,1,2,4,4,5,3,2,4,3,3,3,3,3,3,2,3,3,5,4,3,4,3,5
4,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
へ,へ,ヘ,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
あっ,あっ,アッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,4,1,5,5,5,4,5,5,3,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,5,2,4,5,4,4,5,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,1,2,5,5
ので,ので,ノデ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
として,として,トシテ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1
5,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
日本,にほん,ニホン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,2,4,4,5,2,5,5,5,4,5,5,5,5,5,5,1,5,3,5,1,5,5,5
でき,でき,デキ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,3,3,3,4,3,4,4,2,4,3,1,2,2,2,2,5,5,5,3,1,4,4,4,4,3,4,4,3,2,3,3,3,4,2,1,3,3,3,3,3,2,3,3,3,3,4,4,4,3,4,2,2,3
ませ,ませ,マセ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
やっ,やっ,ヤッ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,2,2,1,4,4,3,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3
思っ,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
なかっ,なかっ,ナカッ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
られ,られ,ラレ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ー,ー,ー,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,3,5,3,5,4,5,5,5,5,4,4,5,5,4,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1
とか,とか,トカ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,1,1,1,5,5,1,1,5,1,1,2,1,1,1,5,2,2,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,2,5,1,2,1,3,5,1
でしょ,でしょ,デショ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,5,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
また,また,マタ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
言っ,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
え,え,エ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,2,3,4,5,5,5,5,3,2,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5,5,2,4,5,5
できる,できる,デキル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
くれ,くれ,クレ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,3,3,2,2,2,2,2,3,2,1,3,2,2,2,2,5,5,5,2,1,2,3,2,1,2,2,3,2,2,2,3,2,1,2,1,3,2,3,3,3,3,3,3,3,2,2,2,1,2,2,2,1,1
出,で,デ,5,2,2,3,3,4,3,3,3,3,2,2,2,2,3,5,4,5,3,3,2,5,3,3,3,4,3,3,2,3,3,3,3,5,5,5,4,5,1,4,3,5,3,3,4,4,3,3,3,3,3,4,5,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,4,3,4
8,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
かも,かも,カモ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,4,3,3,2,5,5,2,3,5,2,2,3,2,2,2,5,2,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,4,2,2,2,2,3,3,5,1,2,3,4,5,2
6,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ご,ご,ゴ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
み,み,ミ,5,2,1,3,3,4,3,3,3,2,2,2,3,2,2,5,5,5,5,5,2,5,5,4,5,4,5,4,5,4,4,4,4,5,5,5,5,3,5,4,3,5,2,2,3,2,5,2,3,2,5,5,1,4,2,5,5,4,4,4,4,4,4,5,5,5,4,5,4,3,5
円,えん,エン,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,4,4,3,5,4,2,4,4,4,5,4,4,4,5,5,3,1,4,4,3,5,5,5,5,5,4,3,4,3,4,2,5,4,5,5,5,4,5,4,5,5,4,4,3,5,4,5,5,5
7,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
のに,のに,ノニ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,5,1
ください,ください,クダサイ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,4,5,5,5,5,5,5,5,4,5,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
たち,たち,タチ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
良い,よい,ヨイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,4,4,5,5,1,1,5,5,2,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ここ,ここ,ココ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ぞ,ぞ,ゾ,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,5,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,1,5,5,5,1,4,5,5
9,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
考え,かんがえ,カンガエ,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,1,5,5,5,1,5,5,5,5,4,4,1,4,4,4,4,5,5,5,4,1,1,4,5,4,5,5,4,5,5,5,5,5,5,4,1,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,5,5
感じ,かんじ,カンジ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5
行っ,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
♪,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1,1,1
ら,ら,ラ,5,3,3,4,3,4,3,3,3,2,3,4,2,3,2,5,5,1,1,1,5,1,5,5,3,5,3,3,1,5,5,5,5,5,5,5,1,4,1,5,5,4,4,5,5,5,5,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,5
万,まん,マン,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,2,2,5,2,2,5,2,2,2,4,5,5,5,4,1,5,4,4,1,5,4,4,5,5,4,4,3,4,5,3,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,5,5,4
ちょっと,ちょっと,チョット,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
ありがとう,ありがとう,アリガトウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,3,5,5,5,1,5,5,5,1,3,5,5
でし,でし,デシ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,3,5,4,4,4,4,4,4,4,3,3,2,3,3,3,5,4,3,4,2,4,1,3,3,2,4,4,3,4,2,3,4,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4
よく,よく,ヨク,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,3,5,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,3,2,3,3,3,3,4,5,5,5,4,5,5,5
第,だい,ダイ,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,3,1,3,4,5,3,4,3,3,2,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ところ,ところ,トコロ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
県,けん,ケン,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,3,4,5,4,5,3,3,3,4,3,4,4,3,3,4,2,2,2,5,2,3,4,2,2,1,2,2,4,3,3,2,3,2,3,2,4,5,4,5,5,5,5,4,4,4,5,2,3,3,4,3,5,5,5
0,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
あなた,あなた,アナタ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,4,5,5,5,5,5,5,4,5,5
