word,hiragana,katakana,WIKIPEDIA_V2_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
へ,へ,ヘ,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5
放送,ほうそう,ホウソウ,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,1,4,4,4,4,4,3,3,3,3,4,1,4,4,4,4,4,4,4,4,4,5,3,4,4,4,5,4,5,5
号,ごう,ゴウ,5,4,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,4,2,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,4,4,4,4,1,4,4,5,4,4,3,4,3,2,3,2,4,4,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,5
という,という,トイウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1
また,また,マタ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
リンク,リンク,リンク,5,3,2,2,4,4,3,3,3,2,2,2,4,3,3,4,3,1,3,3,5,2,3,3,1,2,1,1,2,3,3,2,2,4,4,5,1,3,2,3,1,2,3,3,2,3,2,3,2,3,4,4,4,4,3,4,4,3,4,4,4,5,3,3,1,3,5,2,4,4
村,むら,ムラ,5,4,4,2,4,4,4,3,3,4,3,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5,5,4,4,5,5,4,5,4,4,4,4,4,5,4,1,4,4,4,4,4,4,5,3,3,4,3,4,4,4,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4
郡,ぐん,グン,5,2,3,3,3,4,3,3,3,2,3,3,2,3,2,5,2,4,2,4,3,3,4,4,4,4,2,1,3,2,2,1,1,4,3,3,1,4,3,1,1,2,2,3,2,2,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,2,4,1,4,4,3,4,2
できる,できる,デキル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
おる,おる,オル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,3,3,3,2,5,5,4,5,3,3,4,5,5,5,5,1,1,5,3,1,4,4,4,5,5,5,5,5,5,5,4,5,5,5,3,3,4,3,3,3,3,3,4,3,4,5,5,5,4,4,5,5
昭和,しょうわ,ショウワ,5,4,5,4,4,4,4,3,4,4,4,5,4,4,4,5,3,4,5,5,4,4,2,1,1,4,1,2,4,1,1,2,2,2,2,4,2,3,4,2,1,4,3,3,4,4,2,1,2,1,3,1,5,5,5,5,4,5,4,5,4,4,1,2,1,4,4,1,4,4
東京,とうきょう,トウキョウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,4,5,4,1,1,5,1,1,4,4,4,4,3,4,4,5,2,5,5,4,4,5,4,5,5,5,3,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,5,1,5,5
により,により,ニヨリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,5,2,5,1,4,3,4,4,5,4,5,4,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1
現在,げんざい,ゲンザイ,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,4,5,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,4,5,5,4,1,4,4,5,4,5,4,5,4,5,4,1,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5
画像,がぞう,ガゾウ,5,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,3,2,4,4,5,3,3,3,3,3,2,3,3,2,2,3,3,4,4,4,4,3,3,3,1,3,3,4,3,3,3,3,3,3,3,1,4,5,4,4,4,3,4,4,4,5,3,3,4,4,5,3,4,4
ぬ,ぬ,ヌ,5,3,1,4,3,4,3,3,3,2,2,2,4,3,2,4,5,1,3,3,5,4,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,2,4,4,1,3,4,4,3,2,3,4,3,2,4,1,3,3,2,3,3,2,3,3,3,2,1,5,5,5,5,1,5,5
区,く,ク,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,4,4,3,5,3,5,3,4,4,4,4,3,4,4,4,3,2,4,4,5,2,2,5,3,1,3,3,4,3,3,2,3,2,2,5,1,5,4,5,4,4,4,4,5,4,5,4,4,3,4,5,3,5,4
による,による,ニヨル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,5,4,1,1,5,1,1,1,1,1,1,4,1,1,5,1,5,5,4,4,4,5,5,4,5,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1
テレビ,テレビ,テレビ,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,5,4,1,5,5,5,4,5,5,1,4,1,1,4,4,4,4,4,4,4,5,1,5,4,4,4,4,4,4,5,5,4,3,4,3,4,5,5,4,5,4,4,4,5,5,5,5,3,5,1,4,5,4,5,5
関連,かんれん,カンレン,5,4,4,4,4,4,4,3,3,4,3,4,4,4,4,5,3,3,4,5,5,3,3,4,4,3,2,2,4,2,2,2,3,4,4,5,3,2,3,3,1,3,3,3,3,5,3,3,3,3,2,1,5,5,4,5,5,4,4,4,4,5,4,3,3,4,5,4,4,4
せる,せる,セル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,3,3,1,2,2,3,2,1,2,2,2,2,4,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5
によって,によって,ニヨッテ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,4,1,1,5,1,1,1,1,1,1,5,1,1,5,4,5,2,4,4,4,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1
版,はん,ハン,5,4,4,4,5,5,4,4,3,4,4,4,4,4,4,5,3,4,2,4,4,3,3,4,4,3,3,4,4,3,3,4,2,3,3,5,3,3,3,2,1,3,3,4,3,4,3,3,2,3,4,1,4,4,4,4,4,4,4,4,4,5,4,3,1,4,5,3,5,4
州,しゅう,シュウ,5,2,2,3,3,4,3,3,3,2,2,2,3,2,2,5,4,4,3,4,3,3,5,5,5,4,1,1,4,1,1,3,2,5,5,4,1,3,4,2,1,3,2,3,3,4,2,2,1,1,2,2,4,3,4,4,4,4,3,4,3,3,2,5,1,4,4,2,4,3
社,しゃ,シャ,5,4,4,4,4,4,3,3,4,4,4,3,4,4,4,5,4,4,3,5,5,4,4,5,5,4,4,4,5,3,3,4,3,4,4,5,3,4,4,3,1,4,3,4,4,5,3,3,2,3,2,4,4,4,5,4,4,4,4,4,4,5,3,4,3,5,5,4,5,4
局,きょく,キョク,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,2,2,4,3,1,3,3,4,3,4,2,2,2,1,2,2,4,4,4,5,4,4,4,4,4,4,3,4,1,4,4,3,4,4
項目,こうもく,コウモク,5,4,3,4,5,4,3,4,3,4,3,3,5,4,4,4,2,2,4,4,4,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4,3,1,2,2,1,2,3,3,2,4,3,3,2,2,2,1,5,5,4,4,4,4,4,4,4,4,3,2,4,3,4,3,4,4
出演,しゅつえん,シュツエン,5,2,2,2,3,4,3,3,3,3,2,2,3,2,2,5,3,2,4,4,4,3,4,4,4,3,3,3,3,3,3,3,2,3,3,4,3,5,3,3,4,3,3,3,3,3,2,2,2,1,3,1,3,3,4,3,4,3,3,5,3,5,2,4,1,3,5,3,4,4
平成,へいせい,ヘイセイ,5,4,4,4,4,4,4,3,4,4,3,5,4,4,4,5,3,1,5,5,5,3,2,1,1,2,1,2,3,1,1,2,1,1,1,5,2,3,3,1,1,3,2,4,3,4,2,1,1,2,2,1,4,4,4,5,4,5,4,4,4,5,1,2,3,3,4,1,5,4
監督,かんとく,カントク,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,5,3,5,4,3,1,4,4,4,4,4,3,3,3,2,4,1,4,3,5,4,4,3,4,5,4,5,3,4,1,4,4,3,5,4
軍,ぐん,グン,5,4,4,2,3,4,3,3,3,3,4,3,3,4,2,5,5,4,4,5,4,4,5,5,5,5,5,3,4,5,5,3,4,5,5,5,3,3,5,4,1,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,5,5,4,5,5,4,5,4
選手,せんしゅ,センシュ,5,4,4,3,3,4,3,5,4,4,4,4,4,4,4,5,5,3,4,5,5,4,5,5,5,4,5,4,4,5,5,4,4,4,4,5,3,4,4,4,1,4,4,4,4,4,3,3,3,3,5,1,5,4,5,4,4,3,4,5,4,5,4,5,1,4,5,4,4,4
新,しん,シン,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,5,3,5,4,4,4,4,4,5,4,4,4,4,3,3,5,1,4,4,5,5,4,5,4,4,4,5,4,5,4,5,5,4,4,4
研究,けんきゅう,ケンキュウ,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,4,4,1,4,4,4,4,5,4,5,4,3,4,1,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5
う,う,ウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,4,2,3,5,5,5,1,5,3,2,2,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,4,5,5,5,5,5,1,2,3,2,2,2,2,2,2,2,1,1,5,5,5,5,1,5,5
について,について,ニツイテ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,2,5,1,1,5,1,1,1,1,1,1,5,1,1,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1
鉄道,てつどう,テツドウ,5,3,4,3,3,4,3,4,3,3,4,3,2,4,3,5,3,4,4,4,4,3,3,3,3,4,2,2,3,2,2,2,2,3,3,4,1,5,3,2,1,2,2,2,3,3,2,3,2,1,2,1,4,3,4,4,3,3,3,3,3,4,2,3,1,3,4,2,4,4
脚注,きゃくちゅう,キャクチュウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
等,とう,トウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,1,3,3,5,4,5,5,4,3,3,3,3,5,5,5,4,5,1,5,3,3,4,5,3,5,4,3,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
において,において,ニオイテ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,4,4,1,1,5,1,1,1,1,1,1,4,1,1,5,3,5,5,2,1,3,3,3,3,5,3,3,3,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1
チーム,チーム,チーム,5,5,5,3,5,4,4,5,5,4,5,4,5,5,4,5,5,1,4,4,5,4,5,5,1,4,1,1,3,5,5,5,4,5,5,5,1,5,4,4,5,4,4,4,4,4,4,4,3,3,5,5,4,3,5,4,4,4,4,4,5,5,4,5,4,4,5,4,5,5
万,まん,マン,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,2,2,5,2,2,5,2,2,2,4,5,5,5,4,1,5,4,1,5,4,4,5,5,4,4,3,4,5,3,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,4,5,4
シリーズ,シリーズ,シリーズ,5,4,4,4,5,4,3,4,3,4,4,3,5,4,4,5,3,1,3,4,4,4,4,4,1,3,1,1,3,3,3,3,2,3,3,4,3,5,3,3,3,3,3,4,3,4,3,3,2,2,3,4,4,3,4,4,3,3,3,3,3,5,3,4,1,4,5,2,5,4
その後,そのあと,ソノアト,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,4,1,1,5,1,1,1,1,1,1,4,1,1,5,4,5,5,4,4,4,4,4,4,5,5,4,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,3,1,5,1,5,5
作曲,さっきょく,サッキョク,5,3,3,2,3,4,3,3,3,3,3,3,2,3,2,5,2,2,3,4,3,2,3,3,3,3,2,3,3,2,2,3,2,3,3,4,1,5,2,2,1,2,2,2,2,3,1,2,1,1,2,1,3,3,4,3,3,3,3,5,3,3,2,2,1,2,3,2,2,2
高等,こうとう,コウトウ,5,2,2,2,4,4,3,3,3,2,3,3,3,3,2,5,2,4,1,4,4,2,1,2,2,3,3,3,3,3,3,3,1,2,2,3,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,4,4,3,4,3,4,3,3,3,3,3,1,3,3,3,2,3,3
学,がく,ガク,5,4,4,4,5,4,3,4,3,4,3,4,5,4,4,5,3,4,1,5,4,4,4,5,5,4,4,4,4,4,4,4,3,5,5,5,2,3,3,3,3,3,3,4,3,4,3,2,2,2,2,3,5,5,5,4,5,5,5,5,4,4,4,4,1,5,4,4,4,4
しかし,しかし,シカシ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,1,5,5,5,5,1,5,5
アメリカ,アメリカ,アメリカ,5,5,5,4,4,4,4,3,4,5,5,4,4,5,4,5,4,3,5,5,5,4,5,1,1,5,1,1,4,3,3,4,3,5,5,5,2,5,5,3,3,4,4,4,4,5,3,2,2,2,4,4,5,5,5,5,4,5,5,4,5,5,1,5,3,5,5,1,5,5
たち,たち,タチ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ゲーム,ゲーム,ゲーム,5,5,5,5,4,4,4,4,3,4,5,5,5,5,4,5,5,1,4,4,5,4,5,5,1,4,1,1,4,5,5,5,4,5,5,5,1,5,4,4,4,4,4,5,4,4,4,5,4,4,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5
一覧,いちらん,イチラン,5,4,3,4,4,4,3,4,4,3,3,4,4,4,4,5,1,2,3,3,4,1,1,2,2,2,1,2,2,1,1,2,1,2,2,4,2,4,1,1,1,2,2,3,1,3,2,3,2,1,1,1,3,4,2,3,4,3,3,4,3,5,3,1,1,2,4,2,3,3
バス,バス,バス,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,1,4,4,5,4,4,4,1,4,1,1,4,3,4,4,3,4,4,4,1,5,4,3,4,4,4,4,4,4,4,3,3,1,4,4,5,3,5,4,4,4,5,4,4,5,3,4,1,4,5,4,4,4
株式会社,かぶしきがいしゃ,カブシキガイシャ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,4,1,4,3,1,1,3,3,5,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,3,1
歳,さい,サイ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,2,5,4,5,5,5,5,5,5,5,4,4,5,2,4,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,4,5,5
大阪,おおさか,オオサカ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,1,4,4,3,1,1,4,1,1,4,2,2,3,2,3,3,4,2,5,4,2,1,4,3,4,4,4,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,5,1,4,4
いう,いう,イウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
お,お,オ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,3,5,5,5,5,3,5,5,2,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,3,3,2,3,4,4,3,3,5,5,5,5,3,5,5
教育,きょういく,キョウイク,5,5,4,4,5,5,5,3,3,5,4,4,5,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,4,3,1,4,4,4,4,5,4,3,4,3,4,1,5,5,5,4,4,5,5,5,4,5,4,4,1,4,5,4,5,5
約,やく,ヤク,5,3,3,4,3,4,3,3,4,3,4,4,3,3,4,5,4,4,1,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,3,4,4,4,1,4,4,4,4,5,4,3,3,4,4,3,5,5,5,4,5,5,4,4,4,5,4,4,3,4,5,3,4,5
小学校,しょうがっこう,ショウガッコウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,4,3,1,1,4,1,1,1,1,1,1,3,1,1,4,3,4,4,3,3,4,4,4,4,4,4,2,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,5,4
出場,しゅつじょう,シュツジョウ,5,2,3,2,3,4,3,3,3,2,3,3,2,3,2,5,4,2,2,4,4,3,4,4,4,2,4,4,3,4,4,4,2,2,3,4,2,2,2,3,1,3,3,3,3,2,2,3,2,2,4,1,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3
ドラマ,ドラマ,ドラマ,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,1,4,4,4,4,4,4,1,3,1,1,4,3,3,4,3,3,3,4,1,5,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,5,2,4,1,3,4,4,4,4
全,ぜん,ゼン,5,4,4,3,4,4,3,4,4,4,4,3,4,4,4,5,4,5,1,5,4,4,4,4,4,4,5,4,5,5,5,4,4,5,4,5,4,2,4,4,4,4,4,5,4,5,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4
国際,こくさい,コクサイ,5,4,4,3,4,4,3,3,3,4,3,4,4,4,4,5,3,3,2,5,5,3,3,4,4,4,2,3,4,2,3,3,2,4,4,5,2,3,3,2,1,3,2,3,3,4,2,2,2,1,2,1,4,4,4,4,4,5,4,5,4,4,3,3,3,4,4,3,4,4
地域,ちいき,チイキ,5,4,4,4,5,4,5,5,5,5,4,4,4,5,4,5,3,3,5,5,5,3,4,4,4,4,3,3,4,3,3,3,3,4,4,5,3,5,4,3,1,4,4,4,3,5,4,4,3,3,3,1,5,5,5,4,5,5,4,4,5,5,4,4,5,4,5,3,5,5
収録,しゅうろく,シュウロク,5,4,4,3,4,4,3,4,3,3,4,4,4,4,4,5,2,2,2,3,4,2,3,3,3,2,2,2,3,2,2,2,2,1,1,4,4,4,2,2,4,3,3,4,2,3,2,2,2,1,2,1,4,4,3,4,5,3,4,4,4,5,2,3,1,3,4,2,5,4
明治,めいじ,メイジ,5,4,4,4,3,4,4,4,3,4,4,5,2,4,4,5,3,5,4,5,4,3,2,1,1,4,1,2,4,1,1,2,2,1,1,4,1,4,4,2,1,3,2,2,3,4,2,1,1,1,3,1,4,4,4,4,4,5,4,4,4,3,1,2,1,4,4,1,3,4
